total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover,news_theme,news_summary
74.0,29.0,20.0,10.1,15.0,"['千張大戶持股比例近2週變化 -0.02 個百分點', '股東人數近2週變化 -1.99%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 20,927 張（約當期成交量 8.4%）', '近26個交易日融資餘額變化 -9.74%（下降代表籌碼較乾淨）', '近120個交易日內量增創高417.00元（68日前），目前拉回18.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約14.6%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬8.6%, 型態=normal, 位置=upper, 開喇叭=否）', '月線上揚，股價向上突破月線 -> 葛蘭碧買點①']",2382,TWSE,342.0,52.03299510328415,50.194323607376546,0.5882352941176471,0.08624135700287201,upper,buy_breakout,True,17.985611510791365,14.557926829268292,廣達,電子工業,17690.5,5889294865.0,電腦系統業,
74.0,44.0,8.0,10.1,12.0,"['千張大戶持股比例近2週變化 +0.47 個百分點', '股東人數近2週變化 -2.52%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 55,382 張（約當期成交量 9.1%）', '近26個交易日融資餘額變化 -10.75%（下降代表籌碼較乾淨）', '近120個交易日內量增創高126.50元（11日前），目前拉回8.3%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約31.0%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬35.6%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",2615,TWSE,116.0,65.5810564738633,66.18873015123279,26.219578542671645,0.3563921384680118,middle,buy_support,True,8.300395256916996,31.027667984189723,萬海,航運業,43312.5,4952351470.0,運輸事業,
65.5,34.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.38 個百分點', '股東人數近2週變化 +8.14%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 16,854 張（約當期成交量 4.5%）', '近26個交易日融資餘額變化 -12.33%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1180.00元（9日前），目前拉回15.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.6%', '布林型態中性，無明顯訊號（帶寬33.2%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3037,TWSE,993.0,54.72859960279608,56.6508748735437,3.8449471886220223,0.3322507540628499,middle,neutral,True,15.847457627118644,17.56373937677054,欣興,電子工業,26945.2,27994420654.0,印刷電路板相關,
64.5,31.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.49 個百分點', '股東人數近2週變化 -3.38%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 9,358 張（約當期成交量 2.6%）', '近26個交易日融資餘額變化 +10.93%（下降代表籌碼較乾淨）', '近120個交易日內量增創高122.50元（39日前），目前拉回25.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約21.3%', '布林型態中性，無明顯訊號（帶寬8.3%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",8150,TWSE,91.5,42.30335904523171,41.74303571686323,-3.9622146418262982,0.08328992240048652,middle,neutral,True,25.30612244897959,21.339173967459335,南茂,電子工業,26017.1,2359749792.0,IC封裝測試,
64.0,30.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.17 個百分點', '股東人數近2週變化 -1.12%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 26,905 張（約當期成交量 -0.9%）', '近26個交易日融資餘額變化 -1.07%（下降代表籌碼較乾淨）', '近120個交易日內量增創高70.90元（53日前），目前拉回29.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.1%', '布林型態中性，無明顯訊號（帶寬14.2%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3481,TWSE,50.1,27.6278543963249,26.472539466290566,-7.071643867377696,0.1416292009002797,middle,neutral,True,29.337094499294786,17.117117117117107,群創,光電業,206670.8,10039950329.0,面板業,
62.5,41.0,8.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.40 個百分點', '股東人數近2週變化 -1.76%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 39,063 張（約當期成交量 15.6%）', '近26個交易日融資餘額變化 -27.47%（下降代表籌碼較乾淨）', '近120個交易日內量增創高251.50元（13日前），目前拉回7.0%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約21.3%', '布林型態中性，無明顯訊號（帶寬15.3%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2603,TWSE,234.0,69.3445437811867,70.85118268593291,11.023248458010432,0.153316552142508,middle,neutral,True,6.958250497017893,21.30518234165067,長榮,航運業,17943.3,4267183293.0,運輸事業,
62.0,36.5,12.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.55 個百分點', '股東人數近2週變化 -2.05%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 11,170 張（約當期成交量 4.4%）', '近26個交易日融資餘額變化 +2.09%（下降代表籌碼較乾淨）', '近120個交易日內量增創高718.00元（89日前），目前拉回15.0%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約20.5%', '布林型態中性，無明顯訊號（帶寬23.1%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",4979,TPEx,610.0,84.85253297597662,83.84535452422102,23.30705478067516,0.23126363224004604,middle,neutral,True,15.041782729805014,20.459081836327343,華星光,通信網路業,10962.9,6492654417.0,光通訊,
61.5,34.0,14.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.39 個百分點', '股東人數近2週變化 -13.08%（下降代表散戶籌碼流出、籌碼集中）', '近23個交易日三大法人合計買超 3,279 張（約當期成交量 3.4%）', '近26個交易日融資餘額變化 +10.49%（下降代表籌碼較乾淨）', '近120個交易日內量增創高3530.00元（7日前），目前拉回19.3%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約19.1%', '布林型態中性，無明顯訊號（帶寬38.2%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3081,TPEx,2850.0,74.02461928130407,80.43125711571669,22.25201072386059,0.3822901584598781,middle,neutral,True,19.263456090651555,19.11344032849685,聯亞,通信網路業,4206.3,12828807559.0,IC製造,
61.5,21.5,18.0,10.1,12.0,"['千張大戶持股比例近2週變化 -0.81 個百分點', '股東人數近2週變化 +0.24%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 51,827 張（約當期成交量 2.0%）', '近26個交易日融資餘額變化 -2.59%（下降代表籌碼較乾淨）', '近120個交易日內量增創高88.70元（71日前），目前拉回18.4%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約21.4%', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬16.4%, 型態=normal, 位置=middle, 開喇叭=否）', '月線上揚，股價拉回獲得月線支撐 -> 葛蘭碧買點②']",6770,TWSE,72.4,56.97995642340631,54.94762881661758,3.842706030000609,0.16386819307934752,middle,buy_support,True,18.376550169109354,21.396396396396398,力積電,半導體業,188920.5,13642863525.0,IC製造,
61.0,44.0,8.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.46 個百分點', '股東人數近2週變化 -4.78%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 91,712 張（約當期成交量 16.5%）', '近26個交易日融資餘額變化 -30.88%（下降代表籌碼較乾淨）', '近120個交易日內量增創高74.30元（6日前），目前拉回3.4%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約30.6%', '布林型態中性，無明顯訊號（帶寬38.1%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達11.9%，過度乖離 -> 葛蘭碧賣點③']",1326,TWSE,71.8,75.50189625193379,73.289692916997,15.772217892558652,0.38130467949784635,upper,sell_overbought,True,3.3647375504710633,30.561555075593944,台化,塑膠工業,39636.0,2658140234.0,塑化原料,
