total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover
72.5,41.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.42 個百分點', '股東人數近2週變化 -2.43%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 59,666 張（約當期成交量 10.0%）', '近24個交易日融資餘額變化 -7.42%（下降代表籌碼較乾淨）', '近120個交易日內量增創高85.40元（43日前），目前拉回23.1%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約24.6%', '布林型態中性，無明顯訊號（帶寬21.0%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2356,TWSE,65.7,40.17634695467754,37.39690136995043,2.4321796071094517,0.20952223509917514,middle,neutral,True,23.06791569086651,24.576271186440678,英業達,電子工業,42544.4,2698891148.0
70.0,36.5,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.92 個百分點', '股東人數近2週變化 -1.68%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計賣超 362 張（約當期成交量 -0.7%）', '近24個交易日融資餘額變化 -9.30%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1280.00元（43日前），目前拉回24.6%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約20.3%', '布林型態中性，無明顯訊號（帶寬16.1%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3324,TPEx,965.0,24.838638188841202,19.993932984222496,-3.2872319102024408,0.1605458263707961,upper,neutral,True,24.609375,20.260663507109005,雙鴻,其他電子類,2410.3,2189207608.0
69.5,38.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.18 個百分點', '股東人數近2週變化 -1.01%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 92,580 張（約當期成交量 12.1%）', '近24個交易日融資餘額變化 -7.81%（下降代表籌碼較乾淨）', '近120個交易日內量增創高309.00元（43日前），目前拉回16.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約18.1%', '布林型態中性，無明顯訊號（帶寬14.5%, 型態=normal, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2317,TWSE,258.5,28.544607782227775,25.13404961978039,1.2633434531387697,0.14531290180492454,upper,neutral,True,16.34304207119741,18.101545253863137,鴻海,其他電子業,54512.2,13295009004.0
68.5,41.0,20.0,6.0,1.5,"['千張大戶持股比例近2週變化 +0.30 個百分點', '股東人數近2週變化 -2.73%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 7,538 張（約當期成交量 3.4%）', '近24個交易日融資餘額變化 -2.39%（下降代表籌碼較乾淨）', '近120個交易日內量增創高249.00元（22日前），目前拉回28.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約23.3%', '布林型態中性，無明顯訊號（帶寬46.4%, 型態=wide, 位置=middle, 開喇叭=否）', '月線往下，股價反彈超過月線 -> 葛蘭碧賣點⑤']",3042,TWSE,177.0,25.072565150883356,19.3123806238138,-6.046799663820947,0.46391322508114075,middle,sell_rebound,True,28.915662650602407,23.305785123966942,晶技,電子工業,15887.8,2750579645.0
67.5,34.0,20.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.28 個百分點', '股東人數近2週變化 -3.33%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 2,403 張（約當期成交量 -3.5%）', '近24個交易日融資餘額變化 -29.34%（下降代表籌碼較乾淨）', '近120個交易日內量增創高673.00元（31日前），目前拉回33.9%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約31.3%', '布林型態中性，無明顯訊號（帶寬42.3%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",6415,TWSE,445.0,18.595708022249312,15.993549953908316,-16.231352063626527,0.42312583051840325,middle,neutral,True,33.87815750371471,31.328545780969478,矽力*-KY,電子工業,4969.1,2243362794.0
67.0,44.0,14.0,6.0,3.0,"['千張大戶持股比例近2週變化 +1.68 個百分點', '股東人數近2週變化 -19.30%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 2,774 張（約當期成交量 5.7%）', '近24個交易日融資餘額變化 -39.24%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（65日前），目前拉回19.9%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約13.9%', '布林型態中性，無明顯訊號（帶寬35.8%, 型態=wide, 位置=upper, 開喇叭=是）', '月線上揚但乖離率達15.8%，過度乖離 -> 葛蘭碧賣點③']",3665,TWSE,2355.0,73.78065217493943,71.24697796923695,14.482479238403881,0.35771413910386674,upper,sell_overbought,True,19.897959183673468,13.854595336076816,貿聯-KY,其他電子業,3473.0,7160503104.0
65.5,44.0,8.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.64 個百分點', '股東人數近2週變化 -4.95%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 12,757 張（約當期成交量 15.7%）', '近24個交易日融資餘額變化 -22.28%（下降代表籌碼較乾淨）', '近120個交易日內量增創高567.00元（31日前），目前拉回3.0%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約19.8%', '布林型態中性，無明顯訊號（帶寬23.0%, 型態=wide, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3034,TWSE,550.0,51.48485253280903,46.975444656532446,9.572666600258993,0.2295871439780974,upper,neutral,True,2.9982363315696645,19.77124183006536,聯詠,半導體業,5797.0,2888028594.0
65.5,44.0,8.0,6.0,7.5,"['千張大戶持股比例近2週變化 +0.42 個百分點', '股東人數近2週變化 -5.47%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 20,949 張（約當期成交量 8.7%）', '近24個交易日融資餘額變化 -22.08%（下降代表籌碼較乾淨）', '近120個交易日內量增創高155.00元（10日前），目前拉回2.6%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約30.8%', '布林型態中性，無明顯訊號（帶寬13.6%, 型態=normal, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2377,TWSE,151.0,80.92816061812958,77.933022588099,10.927456382001836,0.1364591648730529,middle,neutral,True,2.5806451612903225,30.845771144278604,微星,電子工業,17294.7,2530730345.0
65.5,38.0,14.0,6.0,7.5,"['千張大戶持股比例近2週變化 +1.56 個百分點', '股東人數近2週變化 -0.70%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,492 張（約當期成交量 2.9%）', '近24個交易日融資餘額變化 -12.46%（下降代表籌碼較乾淨）', '近120個交易日內量增創高304.50元（44日前），目前拉回12.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約37.2%', '布林型態中性，無明顯訊號（帶寬26.6%, 型態=wide, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",4967,TWSE,265.5,42.230808043574356,30.637439626342143,2.8770706190061075,0.26645619841340473,upper,neutral,True,12.807881773399016,37.152542372881356,十銓,電子工業,3726.8,867683375.0
63.0,39.5,10.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.20 個百分點', '股東人數近2週變化 -3.17%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 3,045 張（約當期成交量 2.9%）', '近24個交易日融資餘額變化 +1.29%（下降代表籌碼較乾淨）', '近120個交易日內量增創高444.00元（50日前），目前拉回12.6%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約23.1%', '布林型態中性，無明顯訊號（帶寬37.8%, 型態=wide, 位置=upper, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2455,TWSE,388.0,42.09976539300987,30.368491838436334,7.590987868284229,0.37848576895002567,upper,neutral,True,12.612612612612612,23.076923076923077,全新,通信網路業,7447.1,2395924223.0
59.0,27.5,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 -0.55 個百分點', '股東人數近2週變化 +0.79%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 2,338 張（約當期成交量 4.2%）', '近24個交易日融資餘額變化 -14.19%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1390.00元（72日前），目前拉回23.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約28.4%', '布林型態中性，無明顯訊號（帶寬27.1%, 型態=wide, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",6187,TPEx,1070.0,39.87673418575668,27.901117709377857,-0.08248642086751803,0.27079550312525374,middle,neutral,True,23.021582733812952,28.360957642725598,萬潤,其他電子類,2507.0,2514192171.0
58.0,30.5,20.0,6.0,1.5,"['千張大戶持股比例近2週變化 +1.76 個百分點', '股東人數近2週變化 +1.73%（下降代表散戶籌碼流出、籌碼集中）', '近22個交易日三大法人合計買超 3 張（約當期成交量 0.0%）', '近24個交易日融資餘額變化 -1.56%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1295.00元（74日前），目前拉回44.2%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約14.9%', '布林型態中性，無明顯訊號（帶寬51.0%, 型態=wide, 位置=middle, 開喇叭=是）', '月線往下，股價反彈超過月線 -> 葛蘭碧賣點⑤']",3163,TPEx,722.0,19.219365578891,13.335038666506625,-14.700901823337134,0.5097680794910742,middle,sell_rebound,True,44.24710424710425,14.896073903002309,波若威,通信網路業,4020.8,2653335309.0
