total_score,chip_score,left_side_score,bollinger_score,granville_score,reasons,stock_id,market,price,kd_k,kd_d,bias_60,boll_bandwidth,boll_position,granville_signal,left_side_applicable,left_side_pullback_pct,left_side_typical_pullback_pct,name,industry,avg_volume_lots,avg_turnover
77.5,38.0,20.0,12.0,7.5,"['千張大戶持股比例近2週變化 +0.75 個百分點', '股東人數近2週變化 -0.61%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,024 張（約當期成交量 2.5%）', '近23個交易日融資餘額變化 -21.27%（下降代表籌碼較乾淨）', '近120個交易日內量增創高581.00元（20日前），目前拉回34.5%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約13.9%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬40.0%, 型態=wide, 位置=lower, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",8021,TWSE,380.5,30.92032117283569,45.59214385818124,-19.97476208002524,0.40041568295199625,lower,neutral,True,34.50946643717728,13.891834570519618,尖點,電子工業,2867.7,1452306484.0
75.5,38.0,18.0,12.0,7.5,"['千張大戶持股比例近2週變化 +0.50 個百分點', '股東人數近2週變化 -0.24%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,487 張（約當期成交量 0.4%）', '近23個交易日融資餘額變化 -28.94%（下降代表籌碼較乾淨）', '近120個交易日內量增創高379.00元（35日前），目前拉回28.2%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約31.8%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬27.7%, 型態=wide, 位置=lower, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",6239,TWSE,272.0,45.71624688460063,53.40687330612083,-8.31460674157304,0.27662748302539014,lower,neutral,True,28.232189973614773,31.8407960199005,力成,半導體業,25969.5,8313895841.0
73.5,40.0,14.0,12.0,7.5,"['千張大戶持股比例近2週變化 +2.22 個百分點', '股東人數近2週變化 +8.86%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 7,590 張（約當期成交量 5.5%）', '近23個交易日融資餘額變化 -17.87%（下降代表籌碼較乾淨）', '近120個交易日內量增創高1005.00元（7日前），目前拉回32.1%，尚未拉回到季線附近，歷史慣性拉回幅度中位數約11.9%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬51.1%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3026,TWSE,682.0,61.225224521769974,69.38984633760063,11.605072957861715,0.5114331215556921,lower,neutral,True,32.13930348258707,11.935807422266805,禾伸堂,電子工業,9854.3,8473316247.0
73.0,33.5,20.0,12.0,7.5,"['千張大戶持股比例近2週變化 +0.65 個百分點', '股東人數近2週變化 -9.69%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 373 張（約當期成交量 1.0%）', '近23個交易日融資餘額變化 +5.18%（下降代表籌碼較乾淨）', '近120個交易日內量增創高951.00元（28日前），目前拉回23.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約16.8%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬25.1%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",3167,TWSE,729.0,39.188658132072675,48.55828198881465,-9.663561824903448,0.25061347218007685,lower,neutral,True,23.34384858044164,16.773367477592828,大量,電機機械,2740.0,2286417156.0
70.0,30.5,20.0,12.0,7.5,"['千張大戶持股比例近2週變化 +0.23 個百分點', '股東人數近2週變化 -0.39%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 4,079 張（約當期成交量 1.5%）', '近23個交易日融資餘額變化 +4.75%（下降代表籌碼較乾淨）', '近120個交易日內量增創高417.00元（32日前），目前拉回22.3%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約17.4%', '帶寬已大，三大法人買超，股價貼近下軌 -> 超跌轉機買點型態(範例4)（帶寬21.4%, 型態=wide, 位置=lower, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",2382,TWSE,324.0,31.74584921017687,42.09100233668644,-7.604562737642591,0.21433768231057376,lower,neutral,True,22.302158273381295,17.44868035190616,廣達,電子工業,19226.9,6909680687.0
68.5,41.0,20.0,6.0,1.5,"['千張大戶持股比例近2週變化 +0.90 個百分點', '股東人數近2週變化 -2.99%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 1,108 張（約當期成交量 3.1%）', '近23個交易日融資餘額變化 -3.34%（下降代表籌碼較乾淨）', '近120個交易日內量增創高2940.00元（54日前），目前拉回32.0%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約13.1%', '布林型態中性，無明顯訊號（帶寬16.6%, 型態=normal, 位置=middle, 開喇叭=否）', '月線往下，股價反彈超過月線 -> 葛蘭碧賣點⑤']",3665,TWSE,2000.0,63.00260271917834,62.45764338726093,-7.816400998655662,0.166289320636981,middle,sell_rebound,True,31.97278911564626,13.095238095238097,貿聯-KY,其他電子業,2558.4,4902672989.0
63.5,50.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +5.49 個百分點', '股東人數近2週變化 -8.24%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 10,241 張（約當期成交量 9.1%）', '近23個交易日融資餘額變化 -52.84%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬19.9%, 型態=normal, 位置=middle, 開喇叭=是）', '未明顯符合葛蘭碧買賣點規則']",8028,TWSE,305.0,65.49604871797055,69.30043596567157,3.70034566781889,0.19857492614761138,middle,neutral,False,14.446002805049089,12.89198606271777,昇陽半導體,電子工業,8008.8,2532049141.0
63.5,32.0,18.0,6.0,7.5,"['千張大戶持股比例近2週變化 +2.99 個百分點', '股東人數近2週變化 -1.29%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計賣超 808 張（約當期成交量 -0.7%）', '近23個交易日融資餘額變化 +5.73%（下降代表籌碼較乾淨）', '近120個交易日內量增創高307.00元（53日前），目前拉回28.8%，已拉回至季線附近或以下，歷史慣性拉回幅度中位數約30.4%', '布林型態中性，無明顯訊號（帶寬24.5%, 型態=wide, 位置=lower, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",2486,TWSE,218.5,26.551975640456718,38.03426038839505,-15.038397978030527,0.24490933525522085,lower,neutral,True,28.82736156351792,30.381944444444443,一詮,光電業,8816.7,2157755062.0
63.5,50.0,0.0,6.0,7.5,"['千張大戶持股比例近2週變化 +3.21 個百分點', '股東人數近2週變化 -6.74%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 37,263 張（約當期成交量 3.7%）', '近23個交易日融資餘額變化 -21.61%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '布林型態中性，無明顯訊號（帶寬29.0%, 型態=wide, 位置=middle, 開喇叭=否）', '未明顯符合葛蘭碧買賣點規則']",8150,TWSE,104.0,73.00681594502275,78.84998215899081,9.797297297297298,0.28989926949319444,middle,neutral,False,15.10204081632653,27.02407002188184,南茂,電子工業,71906.9,7816381507.0
63.0,38.0,0.0,10.1,15.0,"['千張大戶持股比例近2週變化 +0.47 個百分點', '股東人數近2週變化 -3.00%（下降代表散戶籌碼流出、籌碼集中）', '近14個交易日三大法人合計買超 43 張（約當期成交量 0.0%）', '近23個交易日融資餘額變化 -5.16%（下降代表籌碼較乾淨）', '近期未出現「量增創高後拉回」型態，此項不適用', '股價於布林上通道與月線之間震盪，符合多頭排列格局 -> 良好趨勢型態(範例3)（帶寬41.2%, 型態=wide, 位置=middle, 開喇叭=否）', '月線上揚，股價向上突破月線 -> 葛蘭碧買點①']",8046,TWSE,1190.0,68.02129401118816,74.81536858722004,22.59825889867615,0.41230977353877035,middle,buy_breakout,False,15.901060070671377,26.97201017811705,南電,電子工業,20699.2,23488630682.0
