date,open,high,low,close,volume,stock_id
2024-06-11,30.25,30.3,29.55,29.6,452893,4931
2024-06-12,30.0,30.0,29.6,29.6,108932,4931
2024-06-13,29.75,29.8,29.45,29.75,270415,4931
2024-06-14,29.65,30.0,29.6,29.7,176933,4931
2024-06-17,29.8,30.15,29.75,29.9,202789,4931
2024-06-18,30.05,30.05,29.45,29.65,149771,4931
2024-06-19,29.8,29.95,29.3,29.3,406342,4931
2024-06-20,29.35,29.9,29.35,29.9,202400,4931
2024-06-21,29.95,30.15,29.7,29.8,164461,4931
2024-06-24,29.8,29.9,29.55,29.55,127634,4931
2024-06-25,29.45,29.65,29.15,29.6,202361,4931
2024-06-26,29.5,29.6,29.4,29.4,116924,4931
2024-06-27,29.65,29.65,29.1,29.1,167304,4931
2024-06-28,29.45,29.75,29.45,29.65,144248,4931
2024-07-01,29.8,29.8,29.65,29.7,71882,4931
2024-07-02,29.75,30.5,29.7,30.5,563039,4931
2024-07-03,30.9,31.0,30.3,30.4,321885,4931
2024-07-04,30.75,30.75,30.15,30.2,281513,4931
2024-07-05,30.15,30.8,30.15,30.65,464983,4931
2024-07-08,31.0,31.0,30.2,30.35,371318,4931
2024-07-09,30.35,30.5,29.75,30.05,272180,4931
2024-07-10,30.15,30.55,30.1,30.4,166126,4931
2024-07-11,30.4,30.5,30.25,30.4,189886,4931
2024-07-12,30.35,30.6,30.25,30.25,211858,4931
2024-07-15,30.35,30.55,30.2,30.3,196484,4931
2024-07-16,30.4,30.95,30.4,30.7,275587,4931
2024-07-17,30.8,30.8,30.4,30.5,207562,4931
2024-07-18,30.65,30.65,30.2,30.35,100592,4931
2024-07-19,30.35,30.35,29.3,29.4,609224,4931
2024-07-22,29.7,29.7,28.25,28.6,395046,4931
2024-07-23,28.2,28.9,28.0,28.1,270548,4931
2024-07-26,27.6,28.5,27.15,27.7,278261,4931
2024-07-29,27.55,28.45,27.4,27.45,194862,4931
2024-07-30,27.45,27.5,26.6,27.25,419727,4931
2024-07-31,27.75,28.1,27.7,27.8,120290,4931
2024-08-01,28.5,28.7,28.0,28.35,204295,4931
