date,open,high,low,close,volume,stock_id
2024-06-06,25.85,25.85,24.8,25.0,323745,4989
2024-06-07,24.9,26.0,24.8,25.4,217927,4989
2024-06-11,25.4,25.4,24.85,24.95,165974,4989
2024-06-12,24.85,25.1,24.65,24.75,172899,4989
2024-06-13,25.05,25.05,24.65,24.7,168833,4989
2024-06-14,24.7,25.45,24.7,25.3,278400,4989
2024-06-17,25.45,25.45,25.05,25.15,92590,4989
2024-06-18,25.1,25.2,24.8,24.8,135545,4989
2024-06-19,24.75,25.15,24.75,25.0,212520,4989
2024-06-20,24.95,25.2,24.95,25.1,178697,4989
2024-06-21,25.0,25.35,25.0,25.35,86352,4989
2024-06-24,25.3,25.3,25.0,25.1,115589,4989
2024-06-25,25.2,25.25,24.75,25.0,115147,4989
2024-06-26,25.0,25.2,24.85,24.85,90120,4989
2024-06-27,24.65,25.3,24.5,25.3,75420,4989
2024-06-28,25.35,25.35,24.9,24.95,102498,4989
2024-07-01,24.75,24.95,24.55,24.7,191651,4989
2024-07-02,24.7,25.0,24.65,24.7,164645,4989
2024-07-03,24.8,25.35,24.8,25.05,194795,4989
2024-07-04,25.2,25.3,25.0,25.0,182798,4989
2024-07-05,25.05,25.35,25.05,25.3,163669,4989
2024-07-08,25.6,25.8,25.4,25.6,344250,4989
2024-07-09,25.7,25.7,25.15,25.2,141244,4989
2024-07-10,25.25,25.35,25.05,25.15,102647,4989
2024-07-11,25.4,25.4,25.1,25.3,151249,4989
2024-07-12,25.0,25.25,24.85,25.1,98884,4989
2024-07-15,24.9,25.25,24.85,24.9,120851,4989
2024-07-16,24.9,25.15,24.9,25.0,85738,4989
2024-07-17,25.0,25.35,24.95,25.0,140384,4989
2024-07-18,24.95,24.95,24.7,24.9,119337,4989
2024-07-19,24.9,24.9,24.3,24.35,220428,4989
2024-07-22,24.5,24.5,23.6,23.7,264171,4989
2024-07-23,24.5,24.5,24.05,24.05,57644,4989
2024-07-26,23.5,24.2,23.5,24.0,67766,4989
2024-07-29,24.25,24.25,23.55,23.55,84875,4989
2024-07-30,23.75,23.95,22.95,23.45,181114,4989
2024-07-31,23.5,23.55,23.1,23.5,64068,4989
2024-08-01,23.65,24.45,23.65,23.95,158350,4989
2024-08-02,23.75,23.75,23.15,23.2,144707,4989
2024-08-05,22.85,22.85,20.9,20.9,403483,4989
2024-08-06,20.95,21.0,19.15,19.9,275112,4989
2024-08-07,19.85,20.9,19.85,20.65,143356,4989
2024-08-08,20.3,20.55,19.8,20.5,154635,4989
2024-08-09,20.5,21.45,20.2,20.2,300882,4989
2024-08-12,20.25,20.5,20.0,20.25,131251,4989
2024-08-13,20.3,20.3,19.8,19.9,150344,4989
2024-08-14,20.45,20.45,19.75,19.9,238846,4989
2024-08-15,20.15,20.55,20.05,20.05,188149,4989
2024-08-16,20.35,20.5,20.1,20.15,129702,4989
2024-08-19,20.15,20.2,19.95,20.05,96662,4989
2024-08-20,20.0,20.2,19.85,19.85,191499,4989
2024-08-21,20.0,20.2,19.85,19.95,190486,4989
2024-08-22,19.95,20.1,19.85,19.95,116116,4989
2024-08-23,19.7,19.95,19.65,19.9,143256,4989
2024-08-26,20.0,20.45,19.95,20.0,194857,4989
2024-08-27,20.0,20.15,19.85,20.1,97106,4989
2024-08-28,20.1,20.15,19.95,20.05,121890,4989
2024-08-29,19.95,20.15,19.9,19.95,102035,4989
2024-08-30,20.2,21.4,20.15,20.75,591326,4989
2024-09-02,20.8,21.0,20.2,20.25,307906,4989
2024-09-03,20.4,22.25,20.4,22.25,1755749,4989
2024-09-04,21.85,21.85,20.55,20.55,1328987,4989
2024-09-05,21.3,22.6,20.85,22.6,819013,4989
2024-09-06,23.5,24.45,22.55,22.8,3968938,4989
2024-09-09,21.7,22.55,21.7,22.0,540127,4989
2024-09-10,22.05,22.2,20.65,20.8,631910,4989
2024-09-11,20.85,21.45,20.35,20.45,281547,4989
2024-09-12,20.95,21.45,20.6,20.7,350744,4989
2024-09-13,20.85,20.85,20.35,20.6,406159,4989
2024-09-16,20.55,21.3,20.55,20.75,321344,4989
2024-09-18,20.85,21.05,20.55,20.55,248966,4989
2024-09-19,20.8,22.6,20.7,22.6,857848,4989
2024-09-20,22.95,24.85,22.75,24.85,6491484,4989
2024-09-23,24.0,24.55,23.4,23.95,2946053,4989
2024-09-24,23.05,23.55,22.7,23.2,1361614,4989
2024-09-25,23.65,24.1,23.1,23.2,1107111,4989
2024-09-26,23.5,23.55,22.75,23.0,492332,4989
