date,open,high,low,close,volume,stock_id
2024-06-07,39.25,42.1,39.25,41.6,9344926,6190
2024-06-11,41.95,41.95,40.05,40.15,3451140,6190
2024-06-12,40.7,42.35,39.8,42.1,11005900,6190
2024-06-13,42.0,42.7,41.45,42.6,7802282,6190
2024-06-14,42.6,43.0,41.7,42.1,7491438,6190
2024-06-17,42.2,43.25,41.4,42.65,5557547,6190
2024-06-18,43.2,44.6,43.2,44.3,15977607,6190
2024-06-19,45.0,46.0,41.4,41.95,34473564,6190
2024-06-20,41.8,42.4,41.3,42.1,4549315,6190
2024-06-21,42.1,42.3,41.55,41.65,2203508,6190
2024-06-24,41.3,41.65,41.05,41.3,2124794,6190
2024-06-25,41.3,41.6,40.45,41.55,1986815,6190
2024-06-26,41.8,42.1,40.8,40.8,1987392,6190
2024-06-27,40.5,40.8,40.15,40.2,1577914,6190
2024-06-28,40.3,40.85,40.3,40.85,1002656,6190
2024-07-01,41.4,41.4,40.25,40.25,1507946,6190
2024-07-02,40.05,40.6,40.05,40.05,1539776,6190
2024-07-03,40.75,41.1,40.15,40.2,1501010,6190
2024-07-04,40.7,41.35,40.55,41.2,2342291,6190
2024-07-05,41.45,41.55,40.85,41.35,1645070,6190
2024-07-08,42.35,42.85,40.9,42.5,6342704,6190
2024-07-09,42.35,42.7,41.0,41.45,5909248,6190
2024-07-10,41.5,44.0,41.15,43.5,9494081,6190
2024-07-11,44.0,44.5,43.0,43.4,7261007,6190
2024-07-12,43.05,43.05,42.0,42.4,3986902,6190
2024-07-15,42.8,42.8,41.4,41.4,2204066,6190
2024-07-16,41.6,41.95,40.65,41.0,2291972,6190
2024-07-17,41.25,41.5,40.7,40.85,1392583,6190
2024-07-18,40.5,40.5,39.5,39.95,2481946,6190
2024-07-19,39.7,40.0,38.35,38.45,2589704,6190
2024-07-22,38.5,38.5,36.5,37.15,2871944,6190
2024-07-23,37.8,37.95,37.15,37.4,985729,6190
2024-07-26,36.4,36.9,35.55,36.6,1519354,6190
2024-07-29,37.2,37.2,35.5,35.65,908329,6190
2024-07-30,35.7,36.4,35.0,36.25,828098,6190
2024-07-31,35.8,36.9,35.8,36.4,537281,6190
2024-08-01,37.0,37.3,36.8,37.15,759612,6190
2024-08-02,36.4,36.8,35.85,35.95,748052,6190
2024-08-05,34.5,34.5,32.4,32.4,2304674,6190
2024-08-06,32.6,33.7,30.45,33.4,2602837,6190
2024-08-07,33.65,35.95,33.6,35.6,1514368,6190
2024-08-08,35.0,35.6,34.7,35.05,844258,6190
2024-08-09,36.05,36.35,35.6,35.95,1093782,6190
2024-08-12,36.85,37.05,35.85,35.95,1194873,6190
2024-08-13,36.55,36.55,35.9,36.3,823431,6190
2024-08-14,36.6,37.2,36.4,37.0,1079011,6190
2024-08-15,38.0,38.1,36.9,37.25,1124242,6190
2024-08-16,37.75,37.85,37.3,37.45,1029739,6190
2024-08-19,37.45,38.4,37.3,38.0,1285323,6190
2024-08-20,38.2,39.35,38.2,38.95,1547157,6190
2024-08-21,38.95,39.45,38.6,38.95,1090771,6190
2024-08-22,39.3,39.3,38.75,38.75,732065,6190
2024-08-23,38.4,38.9,38.25,38.9,720329,6190
2024-08-26,39.45,39.7,38.6,38.7,977207,6190
2024-08-27,39.0,39.25,38.7,38.9,577893,6190
2024-08-28,39.35,39.4,38.9,39.4,707641,6190
2024-08-29,39.6,39.75,39.05,39.6,869499,6190
2024-08-30,39.75,40.8,39.6,39.6,1725434,6190
2024-09-02,40.1,40.45,39.7,40.05,1016533,6190
2024-09-03,40.55,41.0,40.05,40.05,1571635,6190
2024-09-04,38.25,39.65,37.5,38.45,1430967,6190
2024-09-05,38.85,39.55,38.25,38.5,919585,6190
2024-09-06,39.0,39.0,38.2,38.7,553988,6190
2024-09-09,37.0,37.8,36.8,37.65,2010656,6190
2024-09-10,37.75,38.15,36.25,36.4,1348220,6190
2024-09-11,36.7,36.85,36.15,36.2,525929,6190
2024-09-12,37.4,37.45,36.7,36.85,467097,6190
2024-09-13,37.2,37.4,37.0,37.25,456326,6190
2024-09-16,37.5,37.95,37.45,37.6,504546,6190
2024-09-18,37.5,37.85,36.85,36.85,498879,6190
2024-09-19,37.6,38.0,37.4,37.6,574430,6190
2024-09-20,38.0,38.05,37.4,37.4,516274,6190
2024-09-23,37.5,37.7,37.35,37.55,382712,6190
2024-09-24,37.45,37.55,36.9,36.9,533070,6190
2024-09-25,37.25,37.6,36.95,37.0,506243,6190
2024-09-26,37.15,37.65,36.6,36.7,464425,6190
2024-09-27,36.7,37.0,36.4,36.7,455362,6190
2024-09-30,36.5,36.7,36.0,36.0,587140,6190
2024-10-01,36.0,36.3,35.65,35.85,334905,6190
2024-10-04,35.2,35.6,35.05,35.1,868725,6190
2024-10-07,35.2,36.05,35.2,35.95,453985,6190
2024-10-08,35.55,36.3,35.45,36.25,736515,6190
2024-10-09,36.3,36.35,35.15,35.25,1123539,6190
2024-10-11,35.25,35.7,35.15,35.3,375022,6190
2024-10-14,35.35,36.3,35.35,36.1,710023,6190
2024-10-15,36.4,39.1,36.4,37.3,2919180,6190
2024-10-16,37.2,38.25,37.0,37.65,1545290,6190
2024-10-17,38.2,38.25,37.4,37.55,1066147,6190
2024-10-18,37.55,37.9,36.5,36.6,976495,6190
2024-10-21,36.65,37.6,36.65,37.0,887488,6190
2024-10-22,37.4,37.4,36.8,36.9,468336,6190
2024-10-23,37.05,37.25,36.9,37.15,385541,6190
2024-10-24,37.3,37.3,36.5,36.5,526886,6190
2024-10-25,36.65,36.75,36.05,36.5,529557,6190
2024-10-28,36.6,36.6,35.65,36.05,555067,6190
2024-10-29,35.85,36.2,35.3,35.45,401491,6190
2024-10-30,35.75,35.8,35.05,35.15,489753,6190
2024-11-01,35.0,37.2,34.35,36.85,1141768,6190
2024-11-04,36.9,37.1,35.55,35.6,1117394,6190
2024-11-05,35.6,36.1,35.4,35.6,499402,6190
2024-11-06,35.95,36.05,35.5,35.7,496889,6190
2024-11-07,36.0,39.25,35.7,38.8,7175056,6190
2024-11-08,39.0,39.0,35.85,36.1,5513165,6190
2024-11-11,36.35,36.7,36.0,36.4,1025822,6190
2024-11-12,36.1,36.35,35.05,35.5,1452264,6190
2024-11-13,35.3,36.85,35.3,35.85,1346829,6190
2024-11-14,35.85,35.95,34.85,34.85,1256372,6190
2024-11-15,34.9,35.4,34.75,34.75,989358,6190
2024-11-18,35.0,35.0,34.05,34.05,741657,6190
2024-11-19,34.3,34.65,34.05,34.5,404892,6190
2024-11-20,34.65,34.65,34.1,34.15,429770,6190
2024-11-21,34.2,34.6,34.1,34.45,417078,6190
2024-11-22,34.65,35.3,34.65,35.15,680917,6190
