date,open,high,low,close,volume,stock_id
2024-06-06,36.4,36.8,36.25,36.45,9215301,1605
2024-06-07,36.6,37.35,36.6,37.35,12135577,1605
2024-06-11,37.4,37.5,37.0,37.15,10908586,1605
2024-06-12,37.1,37.3,36.75,36.8,8379155,1605
2024-06-13,36.95,37.15,36.65,36.65,8954469,1605
2024-06-14,36.75,37.7,36.75,37.25,12712184,1605
2024-06-17,37.5,37.5,36.8,36.9,15733460,1605
2024-06-18,37.0,37.15,36.7,37.1,11370556,1605
2024-06-19,37.2,37.4,36.85,36.85,15565642,1605
2024-06-20,36.05,36.5,35.8,36.05,19580529,1605
2024-06-21,36.1,36.15,35.85,35.9,20773745,1605
2024-06-24,36.05,36.15,35.6,35.65,16910930,1605
2024-06-25,35.9,35.9,35.35,35.55,19450297,1605
2024-06-26,35.6,35.95,35.4,35.4,16432601,1605
2024-06-27,35.25,35.35,35.0,35.15,17839094,1605
2024-06-28,35.25,35.8,35.2,35.5,7287488,1605
2024-07-01,35.75,35.8,35.45,35.45,5927464,1605
2024-07-02,35.35,35.5,35.15,35.15,7773626,1605
2024-07-03,35.2,35.6,35.2,35.4,6293609,1605
2024-07-04,35.55,35.9,35.5,35.8,9012173,1605
2024-07-05,35.8,35.85,35.6,35.65,8089499,1605
2024-07-08,35.95,36.3,35.8,35.9,9776508,1605
2024-07-09,36.1,36.1,35.05,35.6,12541539,1605
2024-07-10,35.6,35.6,35.15,35.25,7805554,1605
2024-07-11,35.3,35.5,35.1,35.45,7443137,1605
2024-07-12,35.35,36.3,35.1,35.85,13548772,1605
2024-07-15,36.1,36.1,35.55,35.7,5798967,1605
2024-07-16,35.85,36.05,35.65,35.7,5551771,1605
2024-07-17,35.9,36.45,35.9,36.15,22980960,1605
2024-07-18,36.15,36.5,35.65,36.0,11051561,1605
2024-07-19,36.0,36.15,35.4,35.75,10321822,1605
2024-07-22,35.6,35.85,34.6,34.8,11893952,1605
2024-07-23,34.95,35.8,34.9,35.8,8886298,1605
2024-07-26,35.5,36.0,35.2,35.9,10680535,1605
2024-07-29,36.1,36.1,35.25,35.25,7798652,1605
2024-07-30,35.2,35.2,34.15,34.85,10909877,1605
2024-07-31,34.6,34.95,34.25,34.5,11829235,1605
2024-08-01,34.7,35.2,34.55,35.15,9387811,1605
2024-08-02,34.65,34.65,34.0,34.05,13182853,1605
2024-08-05,33.1,33.1,30.65,30.65,26334096,1605
2024-08-06,30.75,31.35,29.0,30.95,19839972,1605
2024-08-07,31.0,33.45,31.0,33.1,15551913,1605
2024-08-08,32.35,32.65,31.75,32.3,8934354,1605
2024-08-09,32.55,33.4,32.5,33.0,9496639,1605
2024-08-12,33.15,33.55,32.9,33.5,5957474,1605
2024-08-13,33.55,33.55,33.1,33.3,5195349,1605
2024-08-14,33.75,33.75,33.15,33.35,5888415,1605
2024-08-15,33.7,33.7,32.9,32.9,4319056,1605
2024-08-16,33.45,33.55,33.2,33.35,5584445,1605
2024-08-19,33.35,33.45,33.0,33.3,5520566,1605
2024-08-20,33.4,34.2,33.25,33.75,8957413,1605
2024-08-21,33.6,34.1,33.55,33.75,5616146,1605
2024-08-22,33.85,34.1,33.8,34.05,3336743,1605
2024-08-23,33.85,34.1,33.65,34.0,3176613,1605
2024-08-26,34.2,34.9,34.15,34.8,8934819,1605
2024-08-27,34.65,34.75,34.2,34.75,5483840,1605
2024-08-28,34.85,35.0,34.55,34.9,4741572,1605
2024-08-29,34.55,34.85,34.35,34.65,4576649,1605
2024-08-30,34.7,35.25,34.65,35.15,11545300,1605
2024-09-02,35.2,35.6,35.05,35.45,6812759,1605
2024-09-03,35.25,35.4,34.8,34.8,4117461,1605
2024-09-04,33.2,33.55,32.65,33.15,11001087,1605
2024-09-05,33.75,34.3,33.45,33.5,7085553,1605
2024-09-06,33.5,33.6,32.6,32.75,8860804,1605
2024-09-09,31.5,32.0,31.15,31.9,9761045,1605
2024-09-10,32.0,32.1,30.6,30.75,12612659,1605
2024-09-11,30.95,31.6,30.75,31.4,5411837,1605
2024-09-12,31.95,31.95,31.1,31.6,10382748,1605
2024-09-13,31.65,31.9,31.45,31.9,10098331,1605
2024-09-16,31.8,32.25,31.55,31.6,11328816,1605
2024-09-18,31.6,32.45,31.6,31.85,13508620,1605
2024-09-19,31.85,32.4,31.75,32.4,6026259,1605
2024-09-20,32.7,32.75,32.1,32.4,11604633,1605
2024-09-23,32.6,33.0,32.45,32.5,10292327,1605
2024-09-24,32.5,32.65,32.2,32.5,10690128,1605
2024-09-25,32.9,34.15,32.8,33.5,20106457,1605
2024-09-26,33.6,34.1,33.45,33.45,10911537,1605
