date,open,high,low,close,volume,stock_id
2024-08-02,21.5,21.75,21.2,21.45,12159740,2489
2024-08-05,20.55,20.6,19.35,19.35,16734121,2489
2024-08-06,19.4,19.8,17.45,18.3,27069548,2489
2024-08-07,19.4,20.1,19.1,20.1,13491094,2489
2024-08-08,20.25,22.1,20.25,21.55,49753987,2489
2024-08-09,21.75,22.8,21.4,21.65,58273404,2489
2024-08-12,22.2,22.8,21.75,22.15,28038358,2489
2024-08-13,22.4,22.55,21.85,22.25,16721992,2489
2024-08-14,22.55,22.75,21.9,21.9,19350837,2489
2024-08-15,22.0,23.35,21.85,23.1,56850686,2489
2024-08-16,23.4,23.7,22.65,22.95,37741116,2489
2024-08-19,22.8,24.2,22.5,23.8,49581888,2489
2024-08-20,23.6,24.05,23.4,23.6,26458695,2489
2024-08-21,23.55,23.7,23.05,23.2,11793811,2489
2024-08-22,23.35,23.5,22.75,22.75,12182785,2489
2024-08-23,22.5,22.75,22.2,22.7,10702326,2489
2024-08-26,23.05,23.4,22.7,22.8,10012644,2489
2024-08-27,22.85,22.95,22.5,22.9,7375113,2489
2024-08-28,23.05,23.15,22.55,22.7,10086824,2489
2024-08-29,22.35,23.1,22.3,22.95,7858465,2489
2024-08-30,23.1,23.2,22.7,22.7,8541089,2489
2024-09-02,23.0,23.0,22.3,22.3,5819536,2489
2024-09-03,22.35,22.95,22.3,22.4,8156343,2489
2024-09-04,21.1,22.1,20.65,21.55,10245850,2489
2024-09-05,22.2,22.6,21.25,21.35,9148560,2489
2024-09-06,21.8,21.8,20.9,20.9,9033173,2489
2024-09-09,20.3,20.45,19.9,20.2,10179846,2489
2024-09-10,20.85,21.25,20.2,20.45,15311116,2489
2024-09-11,20.6,20.65,20.4,20.4,5214745,2489
2024-09-12,20.8,21.1,20.4,20.4,8502179,2489
2024-09-13,20.55,20.6,20.3,20.4,5340008,2489
2024-09-16,20.45,20.9,20.45,20.55,6852089,2489
2024-09-18,20.65,20.85,20.3,20.3,6568142,2489
2024-09-30,22.0,22.1,21.7,22.0,8041468,2489
2024-10-01,22.2,22.25,21.45,21.7,7159147,2489
2024-10-04,21.8,21.8,20.7,20.7,6196899,2489
2024-10-07,20.95,21.65,20.95,21.25,4251168,2489
2024-10-08,21.3,21.5,21.2,21.35,3361392,2489
2024-10-09,21.9,22.2,21.45,21.5,10390343,2489
2024-10-11,21.7,22.3,21.6,21.6,6385132,2489
2024-10-14,21.5,21.8,21.4,21.55,3659379,2489
2024-10-15,21.6,22.0,21.6,21.7,3691986,2489
2024-10-16,21.75,21.85,21.45,21.75,3342164,2489
2024-10-17,21.95,22.15,21.8,21.95,6667022,2489
2024-10-18,22.0,22.15,21.4,21.4,7005134,2489
2024-10-21,21.65,21.9,21.25,21.6,4183475,2489
2024-10-22,21.65,21.65,21.25,21.4,3534637,2489
2024-10-23,21.35,23.5,21.35,23.5,22842132,2489
2024-10-24,23.8,24.05,22.4,22.5,53693395,2489
2024-10-25,22.45,22.75,21.75,22.05,15798865,2489
2024-10-28,22.05,22.45,21.7,21.75,7705198,2489
2024-10-29,21.7,22.0,21.25,21.35,6763486,2489
2024-10-30,21.5,21.7,21.0,21.0,5080383,2489
2024-11-01,20.8,21.15,20.75,21.1,3772725,2489
2024-11-04,21.2,21.8,21.0,21.5,5482892,2489
2024-11-05,21.4,22.15,21.4,21.7,5851539,2489
2024-11-06,21.9,22.05,21.7,21.95,5297750,2489
2024-11-07,21.7,22.0,21.6,21.85,7619169,2489
2024-11-08,21.75,21.85,20.75,20.8,14971867,2489
2024-11-11,20.6,20.75,20.15,20.35,10072598,2489
2024-11-12,20.2,20.45,19.9,20.0,5221859,2489
2024-11-13,20.05,20.35,19.9,19.9,3476581,2489
2024-11-14,20.0,20.2,19.8,19.85,4169120,2489
2024-11-15,19.9,20.55,19.9,20.05,4853764,2489
2024-11-18,20.2,20.2,19.8,19.8,3726862,2489
2024-11-19,20.0,20.0,19.7,19.85,2916808,2489
2024-11-20,19.9,19.95,19.4,19.4,4156988,2489
2024-11-21,19.4,19.8,19.2,19.7,2980465,2489
2024-11-22,19.8,20.15,19.8,20.0,3797599,2489
2024-11-25,20.2,20.65,20.05,20.5,5835620,2489
2024-11-26,20.55,20.7,20.3,20.55,3506651,2489
2024-11-27,20.9,20.9,20.05,20.1,4874924,2489
2024-11-28,20.0,20.15,19.45,19.45,4159407,2489
2024-11-29,19.35,19.65,19.2,19.55,3065419,2489
2024-12-02,19.8,19.85,19.5,19.5,1725769,2489
2024-12-03,19.6,19.95,19.6,19.7,1642217,2489
2024-12-04,19.8,19.9,19.6,19.85,2506903,2489
2024-12-05,20.15,20.35,20.0,20.0,5305218,2489
2024-12-06,20.1,20.2,19.75,19.75,3160402,2489
2024-12-09,19.75,19.85,19.3,19.3,4300328,2489
2024-12-10,19.35,19.6,19.1,19.1,3231744,2489
2024-12-11,19.1,19.35,18.95,19.1,2297496,2489
2024-12-12,19.2,19.75,19.2,19.3,3012934,2489
2024-12-13,19.3,19.35,18.75,18.75,3798092,2489
2024-12-16,18.95,19.0,18.5,18.75,2066428,2489
2024-12-17,18.8,19.0,18.7,18.9,1655755,2489
2024-12-18,18.85,19.0,18.65,18.8,2233236,2489
2024-12-19,18.35,18.7,18.25,18.65,2438022,2489
2024-12-20,18.85,19.4,18.85,19.15,5696441,2489
2024-12-23,19.25,19.5,19.15,19.15,2053948,2489
2024-12-24,19.3,19.35,18.95,19.0,1878460,2489
2024-12-25,19.2,19.4,19.05,19.3,2118822,2489
2024-12-26,19.45,19.5,19.1,19.2,1840451,2489
2024-12-27,19.2,19.25,19.0,19.1,1467794,2489
2024-12-30,19.0,19.05,18.7,18.7,1621158,2489
2024-12-31,18.7,18.75,18.45,18.55,1541016,2489
2025-01-02,18.3,18.9,18.3,18.6,1866517,2489
2025-01-03,18.6,18.85,18.4,18.4,1847775,2489
2025-01-06,18.6,19.05,18.45,19.05,3583007,2489
2025-01-07,19.25,19.5,18.7,18.75,3267994,2489
2025-01-08,19.0,19.25,18.7,19.2,3436779,2489
2025-01-09,19.25,19.25,18.55,18.6,2597695,2489
2025-01-10,18.65,18.85,17.95,18.05,4393843,2489
2025-01-13,18.0,18.45,17.55,18.2,7120667,2489
2025-01-14,18.4,18.4,17.95,18.25,3290697,2489
2025-01-15,18.25,18.6,17.95,17.95,2652461,2489
2025-01-16,18.2,18.35,17.95,18.0,2137376,2489
2025-01-17,18.1,18.2,17.95,18.0,1712755,2489
2025-01-20,18.05,18.1,17.95,18.05,1303800,2489
2025-01-21,18.2,18.3,17.7,17.7,2967234,2489
2025-01-22,17.85,18.05,17.7,18.0,1984414,2489
2025-02-03,17.7,17.8,17.35,17.75,3797966,2489
2025-02-04,17.85,18.0,17.45,17.55,2295311,2489
2025-02-05,17.75,18.4,17.75,18.2,3347131,2489
2025-02-06,18.5,18.5,18.2,18.45,1820792,2489
2025-02-07,18.5,18.55,18.1,18.2,2023840,2489
2025-02-10,18.05,18.15,17.95,18.05,1618039,2489
2025-02-11,18.1,18.25,17.8,17.8,2901246,2489
2025-02-12,17.85,18.3,17.85,18.1,2745811,2489
2025-02-13,18.2,18.5,18.2,18.35,3160781,2489
2025-02-14,18.4,18.6,18.25,18.55,2143658,2489
2025-02-17,18.7,18.8,18.5,18.75,2495729,2489
2025-02-18,18.8,18.95,18.6,18.95,2629984,2489
2025-02-19,18.8,19.2,18.8,19.1,2968149,2489
2025-02-20,19.15,19.25,18.75,18.8,3204557,2489
2025-02-21,18.85,19.1,18.85,19.1,1927815,2489
2025-02-24,19.05,19.2,19.0,19.15,1538523,2489
2025-02-25,19.05,19.1,18.9,18.9,1869678,2489
2025-02-26,18.9,18.95,18.8,18.9,973816,2489
2025-02-27,18.95,19.25,18.75,18.8,2308148,2489
2025-03-03,18.75,18.95,18.6,18.9,1371369,2489
2025-03-04,18.8,19.15,18.55,19.1,2124428,2489
2025-03-05,19.1,19.2,18.95,19.0,1677093,2489
2025-03-06,19.05,19.2,18.0,18.0,10744914,2489
2025-03-07,18.0,18.15,17.75,17.75,2954682,2489
2025-03-10,17.85,17.9,17.5,17.5,2858521,2489
2025-03-11,17.15,17.3,16.7,17.2,4207884,2489
2025-03-12,17.4,17.5,17.1,17.35,1433362,2489
2025-03-13,17.4,17.55,16.9,16.95,2828219,2489
2025-03-14,16.95,17.2,16.85,17.1,2089928,2489
2025-03-17,17.35,17.45,17.1,17.45,2022404,2489
2025-03-18,17.5,17.9,17.2,17.6,4977939,2489
2025-03-19,17.6,17.65,17.45,17.6,1454865,2489
2025-03-20,17.6,17.85,17.4,17.5,2638127,2489
2025-03-21,17.55,17.6,17.4,17.5,1137110,2489
2025-03-24,17.6,17.6,17.3,17.4,1532716,2489
2025-03-25,17.5,17.55,17.0,17.0,2362254,2489
2025-03-26,17.05,17.25,16.9,16.95,1438575,2489
2025-03-27,16.95,17.0,16.75,16.8,1431093,2489
2025-03-28,16.8,16.8,16.2,16.25,3175221,2489
2025-03-31,15.65,15.8,15.15,15.15,6179149,2489
2025-04-01,15.35,15.85,15.25,15.8,2190496,2489
2025-04-02,15.8,16.0,15.5,15.9,1492083,2489
2025-04-07,14.35,14.35,14.35,14.35,321639,2489
2025-04-08,12.95,13.3,12.95,12.95,3624851,2489
2025-04-09,11.9,12.3,11.7,11.7,7213081,2489
2025-04-10,12.7,12.85,12.35,12.85,4154726,2489
2025-04-11,12.3,13.0,11.9,12.95,5264523,2489
2025-04-14,13.35,14.0,13.25,13.35,4051622,2489
2025-04-15,13.55,14.15,13.45,14.05,3239925,2489
2025-04-16,14.2,14.2,13.55,13.55,3295190,2489
2025-04-17,13.5,13.95,13.3,13.85,3153561,2489
2025-04-18,13.95,14.35,13.85,13.85,2822690,2489
2025-04-21,13.9,14.1,13.6,13.6,3369068,2489
2025-04-22,13.6,13.85,13.4,13.75,2777674,2489
2025-04-23,14.0,14.1,13.85,13.9,3038970,2489
2025-04-24,13.95,13.95,13.65,13.7,1251838,2489
2025-04-25,13.85,14.05,13.7,13.75,2914760,2489
2025-04-28,13.9,14.15,13.85,14.15,3491603,2489
2025-04-29,14.2,14.65,14.1,14.65,3356918,2489
2025-04-30,14.6,14.65,14.2,14.25,2118158,2489
2025-05-02,14.35,14.4,14.15,14.25,1951463,2489
2025-05-05,14.4,14.4,13.6,13.85,2959020,2489
2025-05-06,13.85,14.05,13.8,14.0,1706362,2489
2025-05-07,14.0,14.0,13.8,13.85,1542512,2489
2025-05-08,13.9,14.25,13.9,14.15,1626585,2489
2025-05-09,14.2,14.35,14.05,14.25,1839938,2489
2025-05-12,14.3,14.5,14.3,14.45,1925429,2489
2025-05-13,14.7,14.7,14.35,14.35,1720308,2489
2025-05-14,14.45,14.5,14.3,14.45,1619130,2489
2025-05-15,14.5,15.85,14.25,15.85,11209399,2489
2025-05-16,16.0,16.2,15.35,15.35,19856772,2489
2025-05-19,15.35,15.5,14.9,14.9,5217454,2489
2025-05-20,15.15,15.35,15.0,15.0,4294323,2489
2025-05-21,15.1,15.1,14.85,14.95,2421381,2489
2025-05-22,14.9,15.05,14.7,14.9,2425757,2489
2025-05-23,14.85,15.05,14.7,14.75,3252530,2489
2025-05-26,14.8,14.8,14.55,14.55,1470188,2489
2025-05-27,14.55,14.75,14.35,14.35,1575286,2489
2025-05-28,14.5,14.55,14.15,14.2,2437095,2489
2025-05-29,14.3,14.4,13.95,14.05,3048802,2489
2025-06-02,13.95,14.05,13.55,13.65,2676312,2489
2025-06-03,13.7,13.8,13.55,13.6,1193468,2489
2025-06-04,13.75,14.05,13.75,13.95,1820108,2489
2025-06-05,14.0,14.2,13.9,14.0,1878418,2489
2025-06-06,14.0,14.15,13.95,14.05,780456,2489
2025-06-09,14.4,14.5,14.0,14.1,2149095,2489
2025-06-10,14.25,14.45,14.15,14.2,1909913,2489
2025-06-11,14.25,14.45,14.1,14.45,1622398,2489
2025-06-12,14.45,14.65,14.35,14.65,1603494,2489
2025-06-13,14.45,14.5,14.2,14.2,1678625,2489
2025-06-16,14.1,14.15,14.0,14.1,1133880,2489
2025-06-17,14.2,14.25,13.95,14.05,1797802,2489
2025-06-18,14.1,14.55,14.05,14.4,2450624,2489
2025-06-19,14.3,14.35,13.85,13.9,1921161,2489
2025-06-20,13.95,13.95,13.55,13.6,2348956,2489
2025-06-23,13.5,13.55,13.15,13.5,1370086,2489
2025-06-24,13.75,14.05,13.7,14.05,1560701,2489
2025-06-25,14.1,14.15,13.95,13.95,894612,2489
2025-06-26,13.95,14.4,13.95,14.25,1936077,2489
2025-06-27,14.3,14.45,14.15,14.25,1024444,2489
2025-06-30,14.3,14.35,13.95,14.0,962161,2489
2025-07-01,14.0,14.25,14.0,14.25,1074094,2489
2025-07-02,14.25,14.35,14.2,14.25,1004287,2489
2025-07-03,14.3,14.5,14.3,14.3,1463869,2489
2025-07-04,14.4,14.45,14.05,14.15,1056239,2489
2025-07-07,14.2,14.2,13.9,14.0,787000,2489
2025-07-08,14.0,14.0,13.7,13.8,973784,2489
2025-07-09,13.8,13.95,13.8,13.9,525029,2489
2025-07-10,13.85,13.9,13.65,13.65,881378,2489
2025-07-11,13.7,13.8,13.65,13.65,1017618,2489
2025-07-14,13.7,13.7,13.35,13.4,1397288,2489
2025-07-15,13.35,13.55,13.35,13.35,1082907,2489
2025-07-16,13.4,13.65,13.35,13.45,1226152,2489
2025-07-17,13.6,14.15,13.55,13.95,2940168,2489
2025-07-18,14.0,14.1,13.75,13.8,1135072,2489
2025-07-21,13.8,13.95,13.7,13.7,926134,2489
2025-07-22,13.8,13.8,13.2,13.25,2501468,2489
2025-07-23,13.4,13.65,13.35,13.6,1683712,2489
2025-07-24,13.6,13.7,13.45,13.65,886185,2489
2025-07-25,13.55,13.7,13.55,13.65,1096672,2489
2025-07-28,13.7,13.8,13.5,13.7,1029965,2489
2025-07-29,13.7,13.75,13.45,13.55,1000416,2489
2025-07-30,13.6,13.7,13.45,13.6,1386130,2489
2025-07-31,13.7,13.7,13.25,13.3,2669518,2489
2025-08-01,13.1,13.45,12.9,13.3,1821031,2489
2025-08-04,13.2,13.8,13.05,13.7,2293781,2489
2025-08-05,13.8,13.95,13.7,13.9,1628169,2489
2025-08-06,13.9,14.0,13.8,13.85,1121737,2489
2025-08-07,13.85,14.1,13.75,13.75,1450783,2489
2025-08-08,13.65,13.65,12.9,13.05,7776644,2489
2025-08-11,13.0,13.15,12.95,13.05,1589800,2489
2025-08-12,13.0,13.2,13.0,13.15,1455809,2489
2025-08-13,13.25,13.4,12.95,13.05,3356258,2489
2025-08-14,13.15,13.55,13.15,13.35,4556155,2489
2025-08-15,13.4,13.45,13.2,13.35,1741702,2489
2025-08-18,13.35,13.9,13.3,13.65,3617609,2489
2025-08-19,13.65,13.8,13.35,13.7,3192016,2489
2025-08-20,13.55,13.6,13.15,13.2,3205826,2489
2025-08-21,13.25,13.6,13.25,13.55,2602658,2489
2025-08-22,13.55,13.65,13.25,13.3,1606774,2489
2025-08-25,13.45,13.7,13.35,13.35,2581253,2489
2025-08-26,13.35,13.45,13.25,13.35,1519650,2489
2025-08-27,13.5,14.15,13.5,13.8,6891499,2489
2025-08-28,13.8,13.95,13.65,13.9,2270885,2489
2025-08-29,14.0,14.05,13.65,13.75,2026734,2489
2025-09-01,13.7,13.9,13.55,13.65,2218744,2489
2025-09-02,13.7,13.75,13.3,13.4,1579586,2489
2025-09-03,13.35,13.45,13.3,13.45,1693345,2489
2025-09-04,13.5,13.75,13.5,13.6,1762875,2489
2025-09-05,13.65,13.8,13.5,13.75,1393303,2489
2025-09-08,13.8,14.1,13.7,13.8,2847605,2489
2025-09-09,13.85,13.9,13.6,13.7,1931409,2489
2025-09-10,13.7,13.9,13.45,13.8,3007461,2489
2025-09-11,13.8,13.8,13.15,13.2,3958301,2489
2025-09-12,13.25,13.45,13.25,13.3,1614902,2489
2025-09-15,13.3,13.45,13.15,13.2,1620912,2489
2025-09-16,13.25,13.35,13.1,13.3,2218924,2489
2025-09-17,13.25,13.75,13.25,13.45,4021967,2489
2025-09-18,13.45,13.65,13.35,13.5,2230646,2489
2025-09-19,13.6,13.7,13.4,13.6,3126795,2489
2025-09-22,13.7,13.75,13.5,13.55,2179631,2489
2025-09-23,13.6,13.7,13.45,13.55,3194515,2489
2025-09-24,13.5,13.6,13.3,13.35,3101601,2489
2025-10-07,13.7,13.9,13.5,13.7,2651840,2489
2025-10-08,13.9,15.05,13.85,15.05,10896286,2489
2025-10-09,15.25,16.05,15.05,15.8,20370040,2489
2025-10-13,15.2,16.2,15.0,16.2,9468289,2489
2025-10-14,16.35,16.5,15.15,15.25,8912189,2489
2025-10-15,15.3,15.5,15.05,15.2,3333211,2489
2025-10-16,15.3,15.5,15.2,15.25,2543262,2489
2025-10-17,15.3,15.4,15.1,15.2,2053082,2489
2025-10-20,15.35,15.4,15.05,15.25,2263696,2489
2025-10-21,15.4,15.75,15.3,15.3,3539088,2489
2025-10-22,15.3,15.65,15.25,15.5,2296628,2489
2025-10-23,15.6,15.75,15.45,15.6,3593234,2489
2025-10-27,15.2,15.3,15.05,15.05,3496372,2489
2025-10-28,15.1,15.2,14.65,14.7,2403359,2489
2025-10-29,14.65,14.75,14.4,14.5,2349320,2489
2025-10-30,14.5,14.5,14.15,14.2,3042944,2489
2025-10-31,14.4,14.4,14.05,14.05,1685039,2489
2025-11-03,14.2,14.3,14.0,14.1,1437679,2489
2025-11-04,14.1,14.15,13.85,14.0,2424057,2489
2025-11-05,13.95,13.95,13.65,13.9,1492919,2489
2025-11-06,14.0,14.25,13.9,14.15,2781156,2489
2025-11-07,14.05,14.25,13.7,13.75,3069739,2489
2025-11-10,13.8,14.2,13.7,14.0,2487468,2489
2025-11-11,14.15,14.35,14.1,14.2,2512081,2489
2025-11-12,14.3,14.75,14.25,14.65,3610036,2489
2025-11-13,14.95,15.55,14.9,15.3,7654204,2489
2025-11-14,15.25,15.4,15.05,15.15,2896888,2489
2025-11-17,15.25,15.45,15.1,15.1,2416649,2489
2025-11-18,15.0,15.35,14.8,15.2,4056529,2489
2025-11-19,15.4,15.4,14.65,14.75,3738139,2489
2025-11-20,14.9,15.05,14.65,14.7,2193611,2489
2025-11-21,14.6,14.85,14.5,14.65,2432451,2489
2025-11-24,14.75,15.0,14.25,14.3,2781953,2489
2025-11-25,14.45,14.6,14.4,14.6,1439830,2489
2025-11-26,14.7,15.0,14.7,14.8,1675341,2489
2025-11-27,14.85,15.0,14.7,14.95,1125510,2489
2025-11-28,15.0,15.25,14.85,15.15,2130556,2489
2025-12-01,15.15,15.25,15.0,15.1,2070577,2489
