stock_id,close,volume,prev_close,pct_change,date
00707R,31.74,13020,32.589999999999996,-2.608162012887389,2026-08-03
00708L,70.45,2121579,71.25,-1.1228070175438598,2026-08-03
00709,41.0,339288,41.5,-1.2048192771084338,2026-08-03
00710B,19.28,318345,19.27,0.05189413596263622,2026-08-03
00711B,15.81,117264,15.83,-0.12634238787113075,2026-08-03
00712,8.84,18424824,8.9,-0.6741573033707865,2026-08-03
00713,60.85,5162131,61.2,-0.5718954248366013,2026-08-03
00714,22.64,110694,22.8,-0.7017543859649122,2026-08-03
00715L,42.84,9303920,44.96,-4.715302491103203,2026-08-03
00717,14.83,130316,14.85,-0.13468013468013468,2026-08-03
00728,60.0,263053,61.75,-2.834008097165992,2026-08-03
00730,28.18,159056,28.169999999999998,0.035498757543485984,2026-08-03
00731,90.2,612397,91.05,-0.9335529928610654,2026-08-03
00733,59.6,1944395,57.7,3.2928942807625647,2026-08-03
00735,95.5,5074167,97.9,-2.4514811031664965,2026-08-03
00736,31.59,111679,31.41,0.5730659025787965,2026-08-03
00737,38.97,227870,38.67,0.7757951900698214,2026-08-03
00738U,46.76,1784914,47.169999999999995,-0.8691965232139072,2026-08-03
00739,27.69,75460,28.080000000000002,-1.3888888888888888,2026-08-03
00752,24.36,3206116,24.09,1.1207970112079702,2026-08-03
00753L,9.98,20715010,9.83,1.525940996948118,2026-08-03
00757,133.05,2727804,131.55,1.1402508551881412,2026-08-03
00762,108.0,130110,107.8,0.1855287569573284,2026-08-03
00763U,34.88,525144,34.720000000000006,0.4608294930875575,2026-08-03
00770,66.6,206431,66.5,0.15037593984962408,2026-08-03
00771,15.82,2355,15.82,0.0,2026-08-03
00775B,31.85,241272,32.050000000000004,-0.6240249609984398,2026-08-03
00783,27.27,48945,27.86,-2.1177315147164393,2026-08-03
00830,82.6,6653579,84.0,-1.6666666666666667,2026-08-03
00850,86.4,1037367,85.9,0.5820721769499417,2026-08-03
00851,69.1,6395,67.69999999999999,2.0679468242245203,2026-08-03
00852L,35.38,102047,35.06,0.912721049629207,2026-08-03
00861,84.75,61889,85.3,-0.6447831184056273,2026-08-03
00865B,49.46,2657568,49.59,-0.2621496269409155,2026-08-03
00875,52.6,92980,51.800000000000004,1.5444015444015444,2026-08-03
00876,84.55,232047,84.95,-0.47086521483225424,2026-08-03
00878,32.57,68546714,32.43,0.43169904409497384,2026-08-03
00881,50.85,45726124,50.6,0.4940711462450593,2026-08-03
00882,15.27,4132869,15.379999999999999,-0.7152145643693109,2026-08-03
00885,18.27,3056931,18.15,0.6611570247933884,2026-08-03
00891,33.72,19485231,33.199999999999996,1.566265060240964,2026-08-03
00892,38.94,5276571,38.089999999999996,2.2315568390653717,2026-08-03
00893,42.68,962056,43.07,-0.9055026700719759,2026-08-03
00894,45.21,2306841,43.75,3.337142857142857,2026-08-03
00895,49.1,450442,49.07,0.06113715100876299,2026-08-03
00896,25.8,2325980,25.51,1.1368090944727556,2026-08-03
00897,11.05,794755,11.200000000000001,-1.339285714285714,2026-08-03
00898,9.37,91188,9.53,-1.6789087093389297,2026-08-03
00899,23.81,46061,23.849999999999998,-0.16771488469601678,2026-08-03
00900,18.25,6033268,18.24,0.05482456140350878,2026-08-03
00901,42.99,2319963,42.480000000000004,1.2005649717514122,2026-08-03
00902,12.64,547338,12.73,-0.706991358994501,2026-08-03
00903,20.52,244945,20.349999999999998,0.8353808353808355,2026-08-03
00904,38.11,1330578,37.57,1.4373170082512643,2026-08-03
00905,24.6,1302821,24.490000000000002,0.4491629236423029,2026-08-03
00907,16.81,978096,16.98,-1.0011778563015312,2026-08-03
00908,15.83,140048,15.84,-0.06313131313131314,2026-08-03
