date,open,high,low,close,volume,stock_id
2024-08-19,25.5,25.5,24.85,24.9,186000,2468
2024-08-20,25.4,25.4,24.9,25.0,184214,2468
2024-08-21,25.2,25.35,24.8,24.85,217795,2468
2024-08-22,24.95,25.2,24.9,25.1,119013,2468
2024-08-23,25.2,25.2,24.3,24.9,225587,2468
2024-08-26,25.1,25.25,24.9,24.95,232354,2468
2024-08-27,24.9,25.2,24.7,25.1,235922,2468
2024-08-28,25.3,25.3,25.05,25.05,323247,2468
2024-08-29,24.6,24.65,24.35,24.4,168056,2468
2024-08-30,24.4,24.9,24.4,24.4,185460,2468
2024-09-02,24.7,24.7,23.85,23.85,199601,2468
2024-09-03,24.0,25.5,24.0,24.85,559296,2468
2024-09-04,24.05,25.0,23.65,24.0,1317798,2468
2024-09-05,24.3,24.4,23.45,23.5,379669,2468
2024-09-06,23.3,23.8,23.25,23.65,97528,2468
2024-09-09,23.15,23.8,23.1,23.65,159366,2468
2024-09-10,23.4,23.5,21.8,22.0,605323,2468
2024-09-11,22.15,22.15,21.8,21.8,123532,2468
2024-09-12,22.3,23.25,22.05,23.1,280619,2468
2024-09-13,23.1,23.15,22.8,22.9,106571,2468
2024-09-16,23.0,23.4,23.0,23.15,88206,2468
2024-09-18,23.15,23.4,22.8,22.9,74588,2468
2024-09-19,23.15,23.55,23.15,23.35,149167,2468
2024-09-20,23.6,23.95,23.5,23.85,297041,2468
2024-09-23,24.0,24.0,23.5,23.5,82415,2468
2024-09-24,23.5,23.5,23.05,23.25,79894,2468
2024-09-25,23.8,23.8,23.5,23.7,59136,2468
2024-09-26,23.8,23.9,23.35,23.35,125202,2468
2024-09-27,23.65,23.75,23.35,23.55,68091,2468
2024-09-30,23.7,23.7,22.9,23.3,126228,2468
2024-10-01,23.15,23.15,23.0,23.05,71001,2468
2024-10-04,23.05,23.05,22.65,22.7,160300,2468
2024-10-07,22.9,23.15,22.8,23.05,108370,2468
2024-10-08,22.9,24.0,22.85,23.8,120508,2468
2024-10-09,23.55,24.0,23.15,23.9,212783,2468
2024-10-11,24.5,24.55,23.65,23.65,435419,2468
2024-10-14,24.2,24.2,23.45,23.55,117040,2468
2024-10-15,23.6,23.65,23.4,23.5,105020,2468
2024-10-16,23.25,23.5,23.1,23.45,77372,2468
2024-10-17,23.5,24.2,23.4,23.9,232736,2468
2024-10-18,24.05,24.15,23.6,23.7,115683,2468
