date,open,high,low,close,volume,stock_id
2024-06-06,17.5,17.5,16.75,17.05,4178589,1305
2024-06-07,17.05,17.5,16.95,17.5,1520050,1305
2024-06-11,17.5,17.5,17.0,17.1,1259974,1305
2024-06-12,17.2,17.2,16.85,16.95,1076271,1305
2024-06-13,16.9,16.9,16.75,16.8,1467568,1305
2024-06-14,16.75,16.9,16.7,16.75,1000104,1305
2024-06-17,16.75,17.0,16.75,16.8,1095332,1305
2024-06-18,16.8,16.9,16.55,16.9,2538263,1305
2024-06-19,16.9,16.9,16.6,16.6,1608794,1305
2024-06-20,16.7,16.95,16.7,16.85,1225752,1305
2024-06-21,16.8,17.4,16.75,17.2,3723548,1305
2024-06-24,17.15,17.3,17.05,17.25,1706398,1305
2024-06-25,17.1,17.15,16.7,16.9,1944871,1305
2024-06-26,16.95,16.95,16.6,16.65,1945530,1305
2024-06-27,16.65,16.75,16.5,16.55,1146163,1305
2024-06-28,16.55,16.85,16.55,16.75,1025934,1305
2024-07-01,16.85,16.85,16.6,16.6,1069452,1305
2024-07-02,16.75,16.75,16.4,16.45,1329733,1305
2024-07-03,16.4,16.55,16.35,16.45,1270969,1305
2024-07-04,16.5,16.8,16.5,16.7,1355029,1305
2024-07-05,16.75,17.1,16.65,16.9,1680352,1305
2024-07-08,17.1,17.25,17.0,17.05,1968869,1305
2024-07-09,17.15,17.15,16.7,16.8,1330250,1305
2024-07-10,16.8,16.85,16.75,16.85,540001,1305
2024-07-11,16.85,17.5,16.8,17.45,3446839,1305
2024-07-12,17.55,18.25,17.4,18.0,6020914,1305
2024-07-15,18.15,18.15,17.8,18.0,2073683,1305
2024-07-16,18.0,18.55,18.0,18.35,4217857,1305
2024-07-17,18.45,18.9,18.35,18.8,5498161,1305
2024-07-18,18.95,19.2,18.75,18.9,5060113,1305
2024-07-19,19.1,19.1,18.35,18.5,3593890,1305
2024-07-22,18.5,18.75,18.0,18.4,2838540,1305
2024-07-23,18.5,18.65,18.2,18.35,2306907,1305
2024-07-26,18.05,18.2,17.75,17.9,1938788,1305
2024-07-29,18.0,18.15,17.8,17.95,1379524,1305
2024-07-30,17.95,18.0,17.65,17.8,1220299,1305
2024-07-31,17.8,17.95,17.7,17.75,1086480,1305
2024-08-01,17.9,18.4,17.75,18.35,2056962,1305
2024-08-02,18.15,18.15,17.9,18.0,1488420,1305
2024-08-05,17.6,17.6,16.2,16.25,4192163,1305
2024-08-06,16.7,16.7,15.6,16.45,1936548,1305
2024-08-07,16.4,17.25,16.35,17.15,1430944,1305
2024-08-08,16.8,17.0,16.6,16.7,887947,1305
2024-08-09,16.75,17.05,16.7,16.75,974346,1305
2024-08-12,16.75,17.0,16.75,16.8,711654,1305
2024-08-13,16.9,17.2,16.75,17.15,1066995,1305
2024-08-14,17.2,17.5,17.15,17.3,890100,1305
2024-08-15,17.35,17.35,16.95,17.2,679329,1305
2024-08-16,17.35,17.6,17.15,17.2,727400,1305
2024-08-19,17.2,17.4,17.15,17.2,778392,1305
2024-08-20,17.3,17.3,16.75,16.8,1278811,1305
2024-08-21,16.75,16.95,16.7,16.85,819157,1305
2024-08-22,16.75,17.25,16.7,17.2,1387223,1305
2024-08-23,17.0,17.1,16.85,17.05,634016,1305
2024-08-26,17.1,17.4,17.05,17.3,758326,1305
2024-08-27,17.25,17.35,17.0,17.3,507304,1305
2024-08-28,17.2,17.25,17.0,17.05,891230,1305
2024-08-29,17.0,17.15,16.9,17.0,1036104,1305
2024-08-30,17.05,17.15,16.95,16.95,440625,1305
